Time (s),ESC (µs),Servo (µs),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Load Cell 0 (raw),Load Cell 1 (raw),Load Cell 2 (raw),Load Cell 3 (raw),Load Cell 4 (raw),Load Cell 5 (raw),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
0.272377249999973,1000,,0.004263781284210483,-0.03273348338998246,24.22381410104747,0.05864703491360042,0,1.4206548827957612,0,0,0,0,-0.12194758653640747,-0.032146841287612915,-0.025829517841339113,-0.010668593645095825,-0.006769299507141113,-0.0005837619304656982,0.06203021321854409,0,0,0,0,0,0,0,0,,
0.2845422500000452,1000,,0.0041707005435040355,-0.033110981411307264,24.223901253669112,0.05838770247484206,0,1.4143779180810978,0,0,0,0,-0.12192582488059997,-0.032152867317199706,-0.02585882544517517,-0.010670369863510132,-0.006776636838912964,-0.0005743384361267089,0.061424948234836206,0,0,0,0,0,0,0,0,,
0.8603607500000392,1000,,0.004114363950534564,-0.03319036728657991,24.22408401218614,0.057670204184077034,0,1.397007889875494,0,0,0,0,-0.12194908261299134,-0.03213685750961304,-0.02585286498069763,-0.010689592361450196,-0.006770414113998413,-0.0005847454071044922,0.060789389948537643,0,0,0,0,0,0,0,0,,
1.426664000000042,1000,,0.004220516679436426,-0.03282307509725955,24.22419447281747,0.05748305553779094,0,1.3924807134450705,0,0,0,0,-0.12194684147834778,-0.03214144706726074,-0.025833559036254884,-0.0106842041015625,-0.006774115562438965,-0.0005696594715118408,0.06027302886106027,0,0,0,0,0,0,0,0,,
1.990389500000037,1000,,0.004288673214057714,-0.032535137883935805,24.224338659088566,0.05579117178050223,0,1.3515042118624867,0,0,0,0,-0.1219328761100769,-0.03212980031967163,-0.0258350670337677,-0.010689550638198852,-0.006761527061462403,-0.0005654335021972656,0.059616212086420185,0,0,0,0,0,0,0,0,,
2.530523500000057,1000,,0.0043024596437331334,-0.03267760103531545,24.22444336118507,0.05723677121128716,0,1.3865289474530818,0,0,0,0,-0.12193130254745484,-0.032122641801834106,-0.025843936204910278,-0.01069536805152893,-0.006772834062576294,-0.0005603790283203125,0.059154310178624124,0,0,0,0,0,0,0,0,,
3.095442000000033,1000,,0.0042712331077493,-0.032708058443038215,24.22445938762676,0.056291053083146414,0,1.3636203233715212,0,0,0,0,-0.12193025350570678,-0.0321256697177887,-0.025824832916259765,-0.010709285736083984,-0.006779205799102783,-0.0005617618560791015,0.058753221131912906,0,0,0,0,0,0,0,0,,
3.6565897500000433,1000,,0.0042981049918046545,-0.03283965948314933,24.224544172189532,0.05644891597623218,0,1.367449253198753,0,0,0,0,-0.12193693518638611,-0.0321136474609375,-0.025841718912124632,-0.01070205569267273,-0.006780892610549927,-0.0005592942237854004,0.05836563056850632,0,0,0,0,0,0,0,0,,
4.222457750000024,1000,,0.004283587345419818,-0.03285077637375562,24.224686717519848,0.05565218103664736,0,1.348156665478735,0,0,0,0,-0.12193217873573303,-0.032138478755950925,-0.02582777142524719,-0.010701560974121093,-0.0067796409130096436,-0.0005584776401519776,0.057942192415764385,0,0,0,0,0,0,0,0,,
4.785241250000055,1000,,0.004227689302943996,-0.03282683065455978,24.224892388303257,0.058255729915360745,0,1.4112388132062978,0,0,0,0,-0.12193248271942139,-0.0321273684501648,-0.02583966255187988,-0.010717928409576416,-0.006770950555801391,-0.0005437016487121582,0.057886571165591635,0,0,0,0,0,0,0,0,,
5.343923500000051,1000,,0.004218254050776002,-0.03297555421792242,24.224924893382305,0.05874809467715111,0,1.4231681788719794,0,0,0,0,-0.12193819880485535,-0.032134002447128295,-0.025832682847976685,-0.010724139213562012,-0.006785839796066284,-0.0005404114723205567,0.05803895328725741,0,0,0,0,0,0,0,0,,
5.895207750000053,1000,,0.004169422165404521,-0.032979687106291664,24.22507549850777,0.060490753000520335,0,1.4653930327402513,0,0,0,0,-0.12194834351539612,-0.03212981224060059,-0.02585170269012451,-0.010729366540908813,-0.006775414943695069,-0.0005346834659576416,0.058385987694816864,0,0,0,0,0,0,0,0,,
6.463553250000038,1000,,0.004168173907005307,-0.03292251139219533,24.225181612390337,0.058382669077120884,0,1.4143307713147606,0,0,0,0,-0.12193370461463929,-0.03213844299316406,-0.025835126638412476,-0.010733997821807862,-0.006772065162658691,-0.0005195081233978271,0.058425368044416316,0,0,0,0,0,0,0,0,,
7.003753750000044,1000,,0.004267622539694552,-0.03282135893127465,24.22528235022113,0.05700975806916625,0,1.3810774346247023,0,0,0,0,-0.12194215059280396,-0.03213405013084412,-0.02583630084991455,-0.01073923110961914,-0.0067638993263244625,-0.0005312502384185791,0.05831583259568287,0,0,0,0,0,0,0,0,,
7.560053250000044,1000,,0.0040211449699445925,-0.03284622931090457,24.2253731016065,0.05590792820397972,0,1.3543904394852027,0,0,0,0,-0.12192923426628113,-0.032141643762588504,-0.025826281309127806,-0.010741668939590453,-0.006770998239517212,-0.0005340158939361572,0.05787258919968861,0,0,0,0,0,0,0,0,,
8.134981500000034,1000.0330166666666,,0.004078438716029345,-0.032703435747793906,24.225498457197936,0.05640157225936906,0,1.3663561903477788,0,0,0,0,-0.12193372845649719,-0.03212839961051941,-0.02583457827568054,-0.010753852128982545,-0.006766223907470703,-0.000528794527053833,0.05764661069230979,0,0,0,0,0,0,0,0,,
